0,1,2,3,4,5,6
7,4,8,9,10,11,2
7,12,4,9,13,3,1
9,14,2,3,1,10,6
4,5,3,7,2,15,16
11,8,1,4,16,2,6
8,2,15,4,6,5,11
4,5,11,10,7,14,17
2,3,1,11,6,8,4
4,8,7,5,18,16,2
7,8,4,5,12,11,10
4,7,8,10,2,16,18
7,1,8,2,5,3,11
1,0,16,3,2,15,11
11,2,6,12,17,18,16
2,4,10,5,7,9,3
7,4,8,9,5,10,17
4,7,2,8,14,5,10
7,1,0,6,3,15,4
4,7,9,8,11,5,10
3,1,7,0,11,16,8
7,4,8,2,3,11,9
2,7,4,18,10,3,8
9,12,4,11,5,10,18
7,18,4,10,5,14,3
16,0,1,3,15,8,11
12,7,11,3,10,8,1
1,2,8,4,7,3,0
3,2,16,4,11,1,17
11,2,19,16,3,5,18
8,2,6,11,7,18,1
8,11,20,1,13,16,6
7,10,4,5,12,3,17
7,8,11,18,14,4,5
1,3,11,0,2,16,4
16,0,3,6,11,20,2
0,3,1,16,15,6,11
10,5,8,19,4,17,12
2,5,4,18,7,10,11
6,0,16,5,1,15,3
8,2,7,3,4,11,16
3,0,7,1,2,19,20
1,8,6,15,14,2,11
4,2,7,8,5,6,10
12,4,7,5,10,17,2
8,0,16,2,3,15,1
0,16,1,11,8,3,15
14,5,9,12,11,8,13
6,7,13,2,3,8,1
2,4,7,5,6,18,3
5,2,4,15,3,6,7
14,3,8,5,12,6,18
2,4,7,10,5,18,12
5,2,20,3,11,7,8
5,7,2,3,8,4,18
11,8,16,2,6,3,5
5,8,4,2,11,9,0
5,8,4,11,0,15,2
7,4,3,10,18,1,9
15,3,1,8,20,0,2
4,7,18,12,2,8,9
11,2,16,4,7,1,8
8,16,4,15,2,3,1
7,14,5,4,8,11,13
1,8,4,6,9,3,0
8,16,4,2,15,12,3
8,4,11,7,12,5,17
3,1,6,8,16,11,9
3,1,11,2,8,20,10
11,3,19,2,7,1,16
4,2,1,7,3,14,18
4,9,7,8,11,10,5
7,4,8,9,18,11,10
7,8,4,9,11,5,2
10,0,3,7,5,2,9
7,4,9,8,11,18,5
1,0,15,2,11,6,3
7,4,2,5,3,18,11
8,4,16,7,2,11,1
6,7,9,11,8,5,12
7,5,8,2,10,14,11
1,3,4,18,16,8,20
1,3,4,5,8,2,6
1,3,8,10,7,2,16
0,2,4,3,1,8,16
4,16,6,0,1,18,20
1,3,2,8,20,11,13
11,8,2,13,20,6,3
4,2,3,16,15,5,7
14,4,7,1,11,8,2
2,7,8,4,11,5,1
14,6,9,11,2,8,4
1,8,4,6,2,3,9
7,4,3,8,11,12,5
4,3,10,8,2,1,7
2,4,7,18,3,5,10
4,2,7,1,11,8,13
7,4,5,3,2,8,16
16,2,8,11,3,1,6
4,2,7,8,15,11,16
7,14,5,2,9,11,4
4,7,5,3,8,0,11
4,8,11,7,3,6,20
15,3,1,8,16,6,2
7,10,18,9,12,17,8
11,2,8,16,6,15,17
1,3,2,6,0,8,15
3,11,2,1,8,7,4
3,0,19,5,20,16,11
4,7,11,16,3,8,0
4,7,12,5,10,2,11
4,7,8,5,10,18,11
7,4,2,8,11,14,5
4,7,8,10,2,11,13
4,1,11,2,3,18,0
2,4,7,1,3,10,8
7,4,9,14,18,2,11
1,3,4,7,15,6,20
4,2,7,10,5,8,12
10,8,5,7,9,12,3
2,5,8,4,7,1,3
4,10,7,12,8,9,5
4,2,18,8,7,1,12
5,2,7,4,9,11,8
7,2,10,14,4,8,18
10,5,7,18,4,17,8
12,10,7,4,8,5,18
12,7,4,5,10,3,11
